class_id,predictions_0.5,predictions_0.55,predictions_0.6,predictions_0.65,predictions_0.7,predictions_0.75,predictions_0.8,predictions_0.85,predictions_0.9,predictions_0.95
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,1.0,1.0,1.0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL
124,1.0,1.0,1.0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL
134,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL
139,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
143,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
149,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
151,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
153,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
156,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
158,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
159,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
162,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL
185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
187,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
188,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
193,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
194,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
195,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
196,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL
202,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
205,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
206,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
208,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
209,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
210,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
212,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
213,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
214,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
216,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
218,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
219,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
220,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
221,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
223,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
224,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
225,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
226,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL
228,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL
230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL
231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL
232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL
233,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL
234,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
238,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
239,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
240,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
241,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
242,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
243,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
244,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL
246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL
247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL
248,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
249,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL
251,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
253,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
255,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
256,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
257,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
258,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
259,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
260,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
261,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
264,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
265,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
266,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL
268,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
269,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
270,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
271,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
272,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
273,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
274,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
275,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
276,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
277,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
278,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
279,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
280,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
283,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
284,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
285,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
287,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
288,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
289,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
290,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
291,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
292,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
293,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
294,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
295,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
299,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
303,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
304,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
305,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
306,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
307,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
308,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
309,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
310,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
317,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL
319,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
321,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
323,-1.0,-1.0,-1.0,-1.0,NULL,NULL,NULL,NULL,NULL,NULL
324,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
326,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
327,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
328,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
329,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
330,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
331,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
332,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
333,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL
334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
336,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
337,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
343,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
345,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
346,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
347,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
348,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL
350,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
351,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
352,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
353,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
354,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
355,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
356,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
357,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
359,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
361,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
362,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
363,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
364,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
366,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
367,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
370,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
371,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
372,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
373,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
374,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
375,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
376,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
377,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
378,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
381,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
383,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL
386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL
387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL
392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL
393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
395,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
396,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL
398,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
